B02,B03,B04,B08,B11,B12,NDVI,NDWI,BSI,cloud_cover,manganese_label,elevation_m,slope_deg,terrain_relief_m
0.1655,0.179,0.2069,0.2681,0.3128,0.2846,0.128842,-0.199284,0.090318,0.0,0,302.444275,0.334694,6.179138
0.1966,0.2384,0.2519,0.4015,0.4,0.3655,0.228956,-0.254884,0.04304,0.0,0,316.029694,1.42542,12.315979
0.1477,0.1716,0.1826,0.3157,0.3324,0.2595,0.267108,-0.295711,0.052739,0.0,0,288.378021,2.840862,9.675293
0.1475,0.1876,0.1883,0.3635,0.4137,0.3165,0.317506,-0.31918,0.081761,0.0,0,392.027191,5.773002,19.218903
0.1856,0.2195,0.2611,0.3112,0.4313,0.3933,0.087541,-0.172791,0.16448,0.0,1,313.478546,1.542091,10.617065
0.1826,0.2159,0.2499,0.3629,0.4277,0.355,0.184399,-0.253974,0.108004,0.0,0,283.260895,1.217411,7.376221
0.1751,0.2162,0.251,0.2909,0.3531,0.3125,0.07363,-0.147308,0.129053,0.0,0,574.708557,1.277464,15.070557
0.1897,0.2232,0.2713,0.4103,0.5129,0.4062,0.203932,-0.295343,0.133073,0.0,1,338.039368,3.189183,13.587311
0.1617,0.1851,0.2189,0.3879,0.4136,0.3074,0.27851,-0.353927,0.070129,0.0,0,443.221771,8.857847,18.914856
0.1248,0.1477,0.1279,0.3393,0.2149,0.16,0.452483,-0.393429,-0.150328,0.0,1,302.222931,0.467486,4.921265
0.1941,0.2432,0.3073,0.3533,0.3979,0.3734,0.069634,-0.184577,0.125978,0.0,0,281.138733,2.813555,9.055908
0.1948,0.2375,0.2781,0.3808,0.4931,0.4021,0.155866,-0.231765,0.145233,0.0,0,375.426361,2.02436,10.448761
0.1559,0.1812,0.1844,0.3826,0.4207,0.3254,0.349559,-0.357219,0.058237,0.0,1,319.001251,2.163061,44.099518
0.1394,0.1646,0.1717,0.3177,0.3783,0.2752,0.298324,-0.317437,0.092245,0.0,0,565.901611,3.648742,29.46228
0.2323,0.2816,0.3439,0.4215,0.5831,0.4739,0.101385,-0.198976,0.172824,0.0,0,511.71524,1.844204,23.757599
0.1344,0.154,0.1571,0.2969,0.3374,0.2444,0.30793,-0.316922,0.068265,0.0,0,546.559326,6.540568,94.927734
0.1626,0.1896,0.2227,0.3222,0.4835,0.3999,0.182602,-0.259086,0.185894,0.0,0,313.107147,2.951501,20.62735
0.1999,0.2392,0.2888,0.396,0.504,0.3955,0.156542,-0.246851,0.141787,0.0,1,611.350281,1.396267,12.616089
0.1869,0.2213,0.2539,0.3893,0.4122,0.3354,0.21051,-0.275139,0.072366,0.0,0,289.900787,0.722933,7.685059
0.1721,0.1955,0.2428,0.347,0.4726,0.3798,0.17667,-0.279263,0.159012,0.0,0,410.861816,0.937679,23.004944
0.1452,0.1739,0.1928,0.3229,0.4213,0.3295,0.252278,-0.299919,0.13491,0.0,0,347.853577,2.409024,12.558777
0.1168,0.1471,0.1249,0.4503,0.2455,0.1646,0.565716,-0.507533,-0.209813,0.0,0,359.180328,0.618441,7.145935
0.1752,0.2053,0.2437,0.2997,0.426,0.3963,0.103055,-0.186931,0.17019,0.0,0,274.330902,0.749769,9.732971
0.1964,0.2332,0.2805,0.4066,0.4745,0.3806,0.183525,-0.271022,0.111929,0.0,1,319.014648,0.584671,14.409363
0.1686,0.2061,0.2428,0.3174,0.3392,0.2811,0.133167,-0.212607,0.089888,0.0,0,291.443726,1.331501,12.877777
0.1702,0.1999,0.2364,0.35,0.4475,0.3969,0.193724,-0.272959,0.135952,0.0,1,306.868011,1.030344,8.578217
0.1592,0.1922,0.2086,0.4062,0.426,0.3546,0.321405,-0.35762,0.057667,0.0,0,375.535675,1.288107,11.900177
0.1433,0.1614,0.1687,0.304,0.3493,0.2583,0.286228,-0.306403,0.073241,0.0,0,542.300537,9.031175,46.98584
